resolution,0.2,0.3,0.4,0.5
3,0.924227,inf,inf,inf
4,inf,inf,inf,inf
5,0.330388,0.336635,0.319508,0.348965
6,0.590365,0.58945,0.595238,inf
7,0.764215,0.781869,0.0458876,0.046605
8,inf,inf,0.266186,0.269283
9,0.451953,0.444345,0.445257,0.446633
10,inf,inf,0.584515,0.0840836
