resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,1.58828,1.58187,1.57526,1.56102,1.5554,1.54803,1.52862
6,1.62703,1.62284,1.61643,1.60456,1.59454,1.58657,1.58005
7,1.65972,1.65041,1.64855,1.64506,1.6295,1.62284,1.60974
8,1.69139,1.68147,1.6755,1.66903,1.65874,1.2603,1.27918
9,1.71525,1.70691,1.69993,1.69792,1.33391,1.34749,1.34713
10,1.73884,1.37369,1.38103,1.39001,1.39648,1.39765,1.39886
11,1.42874,1.42924,1.42742,1.43414,1.43353,1.43812,1.44975
12,1.46451,1.46785,1.47078,1.47288,1.47729,1.47803,1.48131
13,inf,1.50341,1.50712,1.51429,1.50657,1.50866,1.51659
14,inf,1.53122,1.53312,1.52955,1.53476,1.54443,1.54791
