resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,inf,inf,inf,inf,inf,inf,inf
6,inf,inf,inf,inf,inf,inf,inf
7,1.67261,inf,inf,inf,inf,inf,inf
8,1.69139,1.68147,1.69189,1.68885,inf,inf,1.61481
9,1.71525,1.70691,1.69993,1.69792,1.68663,1.69189,1.67865
10,1.73884,1.73184,1.72483,1.71511,1.70459,1.69774,1.68756
11,1.75953,1.75447,1.7448,1.73894,1.72962,1.71754,1.70451
12,inf,1.77884,1.76952,1.75825,1.74586,1.73889,1.72835
13,inf,1.79793,1.78717,inf,1.76834,1.75932,1.7448
14,inf,1.53888,inf,1.79586,1.78457,1.7752,1.76124
