resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.456834,0.471375,0.483593,0.491339,0.509162,0.529733,0.548316
6,0.405281,0.414098,0.424545,0.428163,0.441872,0.45847,0.481633
7,0.369278,0.373935,0.380006,0.387473,0.402544,0.414098,0.426183
8,0.34782,0.352661,0.354309,0.361982,0.370391,0.377549,0.515712
9,0.323063,0.327724,0.338952,0.345373,0.454284,0.448126,0.452668
10,0.308098,0.312153,0.379718,0.376405,0.383787,0.394543,0.400876
11,inf,0.317733,0.31952,0.328212,0.333059,0.340866,0.350205
12,0.259227,0.263807,0.277558,0.290254,0.297864,0.306767,0.314422
13,0.217341,0.226273,0.239723,0.244931,0.255708,0.276348,0.29145
14,inf,inf,0.201624,0.219133,0.230508,0.239892,0.259687
