resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
6,0.177249,0.182026,0.187742,0.19068,0.1987,0.20575,0.222609
7,0.157329,0.162734,0.166289,0.172672,0.177249,0.182026,0.188709
8,0.13852,0.143055,0.150088,0.151868,0.157329,0.165398,0.172672
9,0.121929,0.126566,0.129333,0.136722,0.140332,0.150088,0.152786
10,0.110537,0.111491,0.115368,0.121929,0.126566,0.130285,0.139414
11,0.0999655,0.100946,0.104857,0.110537,0.111491,0.121019,0.126566
12,0.0934188,0.0961648,0.0971141,0.0999655,0.102914,0.110537,0.114404
13,0.086923,0.0887584,0.0896849,0.0952503,0.0971141,0.0999655,0.104857
14,0.0812622,0.0812622,0.0841398,0.0878315,0.0906368,0.0961648,0.0980671
15,0.076748,0.0785546,0.0812622,0.0812622,0.0860109,0.0896849,0.0943347
