resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
6,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf
8,0.622652,0.621411,0.630479,0.64455,0.658347,0.672683,inf
9,0.347662,0.343997,0.346802,0.342877,0.331201,0.342887,inf
10,inf,0.572095,0.565493,0.570185,inf,inf,inf
11,inf,0.761334,0.759724,inf,inf,inf,inf
12,0.545511,0.544817,0.539937,0.538212,0.54414,0.549866,0.549267
13,inf,0.690373,0.691895,0.690806,0.696591,0.698084,0.355367
14,inf,0.521643,0.521028,0.529582,0.523088,0.524611,0.525529
15,inf,inf,0.659825,0.655918,0.665548,0.652339,0.649501
