resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
10,0.307705,inf,inf,inf,inf,inf,inf
11,0.622244,0.62291,0.619896,0.597511,0.595152,0.591566,0.577693
12,0.427093,0.423272,0.431865,0.433389,0.432562,0.428251,inf
13,0.670293,0.670092,0.667104,0.660318,0.660532,0.665248,0.665325
14,inf,0.532209,0.530676,0.531738,0.53663,0.532253,0.524687
15,0.397787,0.396913,0.7117,0.709206,0.70218,0.700104,0.700512
16,0.603113,0.602349,0.603902,0.613708,0.612584,0.615501,0.6145
17,inf,inf,0.469021,0.467424,0.466876,0.469372,0.470863
18,inf,0.651678,0.650648,0.652214,0.651214,0.643498,0.642679
19,inf,0.542162,0.54963,0.548873,0.555371,0.556578,0.547582
