resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
6,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf,inf
8,0.632701,0.641379,0.63969,0.63246,0.631809,0.636326,inf
9,0.874002,0.345626,0.3442,0.337485,0.336788,0.338238,inf
10,0.561415,0.570573,0.582186,0.571966,inf,inf,inf
11,0.772284,0.775166,0.763899,inf,inf,inf,inf
12,0.543614,0.542379,0.547951,0.534711,0.523149,0.520351,0.536243
13,0.712036,0.705521,0.705738,0.7071,0.712344,0.702156,0.361635
14,inf,inf,0.524735,0.520774,0.517707,0.515756,0.50955
15,inf,inf,inf,inf,inf,inf,0.662041
