resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.342377,0.355267,inf,0.405678,inf,inf,inf
6,inf,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,0.383953,0.39573
8,inf,inf,inf,0.238667,0.234248,0.720126,inf
9,0.497122,0.498404,0.482825,0.480279,0.516836,0.527613,0.531725
10,0.333991,0.335269,0.421346,0.419529,0.4225,0.419367,0.427825
11,0.368244,0.367103,0.365942,0.36419,0.362882,0.363711,0.582623
12,0.46782,0.466639,0.464981,0.449993,0.429416,0.427616,0.428099
13,0.311168,0.309342,0.311234,0.312991,0.320132,0.316736,0.315054
14,0.257841,0.261595,0.218059,0.282207,0.279747,0.273742,0.510447
