resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,inf,inf,inf,inf,inf,inf,inf
6,1.66474,1.66818,1.6732,1.67748,1.68831,1.6895,inf
7,1.14948,1.15753,1.16789,1.1708,1.19501,1.20081,1.23417
8,1.55925,1.56581,1.56132,1.56484,1.56637,1.56615,1.56649
9,1.08503,1.08817,1.10138,1.11815,1.14372,1.1522,1.15373
10,1.45847,1.46197,1.4666,1.47656,1.48735,1.49923,1.50362
11,1.09613,1.10036,1.09579,1.0744,1.08466,1.10497,1.1295
12,1.38307,1.39193,1.39083,1.39276,1.40467,1.42121,1.42936
13,1.63112,1.62968,1.08392,1.10346,1.0938,1.09402,1.07347
14,inf,1.34655,1.34883,1.35208,1.35271,1.36592,1.35795
