resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.708148,0.717968,0.745152,0.783534,0.815376,0.837944,inf
6,0.714722,0.728828,0.743152,0.770187,0.78561,0.812425,inf
7,0.473575,0.486531,0.507704,0.528324,0.556281,0.58569,0.622574
8,0.415348,0.430645,0.439543,0.454302,0.472568,0.498481,0.520509
9,inf,inf,inf,0.512459,0.52526,0.534089,0.528681
10,inf,inf,0.601812,0.617179,0.40687,0.40942,0.419359
11,inf,inf,inf,inf,inf,inf,0.400416
12,inf,inf,inf,inf,inf,0.39639,0.411595
13,inf,inf,inf,inf,inf,inf,inf
14,inf,inf,inf,inf,inf,inf,inf
