resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.426789,0.396256,0.381184,0.344494,0.296349,0.28683,inf
6,inf,inf,inf,inf,inf,inf,inf
7,0.533078,0.521644,0.510773,0.502638,0.49092,0.466044,0.444947
8,0.587544,0.577132,0.566852,0.549269,0.523625,0.508222,0.765562
9,0.708753,0.705559,0.686148,0.663968,0.646184,0.639863,0.628703
10,inf,0.66226,0.659038,0.651941,0.640862,0.620328,0.58679
11,inf,inf,0.681247,0.668131,inf,0.646651,0.778788
12,inf,inf,inf,0.722952,inf,inf,0.688056
13,inf,inf,inf,inf,inf,inf,0.683746
14,inf,inf,inf,inf,inf,0.709063,0.77478
