resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.708148,0.717968,0.745152,0.783534,0.814782,0.837444,inf
6,0.714722,inf,inf,inf,inf,inf,inf
7,0.473575,0.487202,0.508348,0.528969,0.556855,0.58569,0.622574
8,0.415348,0.430645,0.439543,0.454302,0.472568,0.498481,0.520509
9,0.497535,0.511196,0.503507,0.49792,0.512457,0.521699,0.535753
10,0.343865,0.35002,0.365233,0.391523,0.40687,0.40942,0.419359
11,0.290458,0.297991,0.316001,0.334,0.346022,0.381539,0.400416
12,0.342225,0.344323,0.351766,0.36633,0.378072,0.392464,0.409672
13,inf,inf,0.260869,0.280319,0.280996,0.292074,0.315156
14,inf,inf,0.236597,0.247222,0.262535,0.273605,0.283171
