resolution,0.1,0.15,0.2,0.25,0.3,0.35,0.4
5,0.34874,inf,inf,inf,inf,inf,inf
6,inf,inf,inf,inf,inf,inf,inf
7,0.365567,0.360632,0.368465,0.362687,0.3696,0.372012,inf
8,0.183524,inf,inf,inf,inf,inf,inf
9,0.5046,0.498907,0.491377,0.478463,0.485278,0.52017,0.529988
10,0.316254,0.328686,0.327966,0.430317,0.422055,0.428719,inf
11,inf,0.584806,0.586384,0.600768,0.601804,0.597325,0.591845
12,inf,0.444407,0.447386,0.443893,0.43282,0.434349,0.432018
13,inf,inf,0.295341,0.292796,0.304553,0.64457,0.657956
14,inf,0.538518,0.538074,0.532148,0.526754,0.51974,0.515597
